timestamp_s,value
1767968128.2525392,0.00341797
1767968128.9105718,0.00170898
1767968129.383778,0.00170898
1767968129.902735,0.00341797
1767968130.389857,0.00512695
1767968130.8457618,0.00683594
1767968131.3677545,0.00341797
1767968131.8861136,0.00170898
1767968132.422543,0.0
1767968132.9697797,0.0
1767968133.456459,0.00341797
1767968134.0064938,0.00512695
1767968134.648464,0.00683594
1767968135.1494815,0.00170898
1767968135.7151957,0.00341797
1767968136.2294521,0.00512695
1767968136.7626107,0.00512695
1767968137.308086,0.00512695
1767968137.8262036,0.0
1767968138.3475597,0.00341797
1767968138.8629634,0.00341797
1767968139.3299978,0.00341797
